Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"Tyler Conklin (TE, MIN)",TE,MIN,1.16,"$2,500 ",#4,#314,#62,0,0,0,0,0,0,0.46,4.6,0.04,1.16,"$2,500 ",0.46
"Malcolm Perry (RB, MIA)",RB,MIA,1.15,"$3,000 ",#19,#315,#86,0,0,0,0.18,0.77,0.01,0.49,3.47,0.03,1.15,"$3,000 ",0.38
"Joshua Kelley (RB, LAC)",RB,LAC,1.16,"$4,000 ",#16,#315,#86,0,0,0,0.93,3.71,0.02,0.33,2.3,0.02,1.16,"$4,000 ",0.29
"D'Ernest Johnson (RB, CLE)",RB,CLE,1.15,"$4,000 ",#2,#317,#88,0,0,0,0.63,2.64,0.01,0.42,2.98,0.02,1.15,"$4,000 ",0.29
"C.J. Board (WR, NYG)",WR,NYG,1.13,"$3,000 ",#20,#318,#136,0,0,0,0,0,0,0.45,5.09,0.03,1.13,"$3,000 ",0.38
"James Proche (WR, BAL)",WR,BAL,1.11,"$3,000 ",#25,#319,#137,0,0,0,0,0,0,0.44,5.02,0.03,1.11,"$3,000 ",0.37
"Josh Adams (RB, NYJ)",RB,NYJ,1.11,"$4,100 ",#23,#319,#89,0,0,0,0.98,4.07,0.03,0.28,1.9,0.01,1.11,"$4,100 ",0.27
"Jakob Johnson (RB, NE)",RB,NE),1.07,"$4,000 ",#1,#321,#90,0,0,0,0.06,0.25,0,0.56,3.63,0.02,1.07,"$4,000 ",0.27
"Travis Homer (RB, SEA)",RB,SEA,1.03,"$4,000 ",#28,#322,#91,0,0,0,0.32,1.31,0.01,0.39,2.7,0.03,1.03,"$4,000 ",0.26
"Nick Keizer (TE, KC)",TE,KC),1.03,"$2,500 ",#7,#322,#63,0,0,0,0,0,0,0.39,4,0.04,1.03,"$2,500 ",0.41
"Dontrelle Inman (WR, WSH)",WR,WSH,1.02,"$3,500 ",#11,#324,#138,0,0,0,0,0,0,0.4,4.41,0.03,1.02,"$3,500 ",0.29
"Derek Watt (RB, PIT)",RB,PIT,0.99,"$4,000 ",#22,#325,#92,0,0,0,0.33,1.38,0.01,0.36,3.07,0.02,0.99,"$4,000 ",0.25
"Trayveon Williams (RB, CIN)",RB,CIN,0.99,"$4,000 ",#27,#326,#93,0,0,0,0.78,3.26,0.02,0.28,2.11,0.01,0.99,"$4,000 ",0.25
"Alec Ingold (RB, LV)",RB,LV),0.97,"$4,000 ",#10,#327,#94,0,0,0,0.05,0.19,0,0.44,3.32,0.03,0.97,"$4,000 ",0.24
"Jacoby Brissett (QB, IND)",QB,IND,0.95,"$4,100 ",#31,#328,#33,0,0,0,1.09,4.51,0.09,0,0,0,0.95,"$4,100 ",0.23
"Vance McDonald (TE, PIT)",TE,PIT,0.89,"$2,800 ",#22,#329,#64,0,0,0,0,0,0,0.36,3.64,0.03,0.89,"$2,800 ",0.32
"Nick Bellore (RB, SEA)",RB,SEA,0.81,"$4,000 ",#28,#330,#95,0,0,0,0.29,1.19,0.01,0.3,2.13,0.02,0.81,"$4,000 ",0.2
"Deon Yelder (TE, KC)",TE,KC),0.81,"$2,500 ",#7,#330,#65,0,0,0,0,0,0,0.31,3.18,0.03,0.81,"$2,500 ",0.32
"Royce Freeman (RB, DEN)",RB,DEN,0.8,"$4,000 ",#21,#332,#96,0,0,0,0.43,1.8,0.01,0.31,1.92,0.01,0.8,"$4,000 ",0.2
"Anthony Sherman (RB, KC)",RB,KC),0.8,"$4,000 ",#7,#332,#96,0,0,0,0.24,1,0.01,0.29,2.32,0.02,0.8,"$4,000 ",0.2
"Pharaoh Brown (TE, HOU)",TE,HOU,0.79,"$2,500 ",#9,#334,#66,0,0,0,0,0,0,0.29,3.18,0.03,0.79,"$2,500 ",0.32
"Jerick McKinnon (RB, SF)",RB,SF),0.78,"$4,400 ",#6,#335,#98,0,0,0,0.56,2.31,0.01,0.24,1.91,0.01,0.78,"$4,400 ",0.18
"Keith Smith (RB, ATL)",RB,ATL,0.75,"$4,000 ",#14,#336,#99,0,0,0,0.13,0.52,0,0.35,2.26,0.02,0.75,"$4,000 ",0.19
"Michael Burton (RB, NO)",RB,NO),0.74,"$4,000 ",#18,#337,#100,0,0,0,0.31,1.26,0.01,0.29,2.03,0.01,0.74,"$4,000 ",0.19
"Harrison Bryant (TE, CLE)",TE,CLE,0.74,"$2,500 ",#2,#337,#67,0,0,0,0,0,0,0.28,2.81,0.03,0.74,"$2,500 ",0.3
"Patrick Ricard (RB, BAL)",RB,BAL,0.72,N/A,#25,#339,#101,0,0,0,0.02,0.07,0,0.35,2.47,0.02,0.72,N/A,N/A
"Lee Smith (TE, BUF)",TE,BUF,0.72,"$2,500 ",#3,#339,#68,0,0,0,0,0,0,0.29,2.49,0.03,0.72,"$2,500 ",0.29
"Luke Willson (TE, BAL)",TE,BAL,0.72,"$3,000 ",#25,#339,#68,0,0,0,0,0,0,0.26,2.76,0.03,0.72,"$3,000 ",0.24
"DaeSean Hamilton (WR, DEN)",WR,DEN,0.71,"$3,000 ",#21,#342,#139,0,0,0,0,0,0,0.29,3.01,0.02,0.71,"$3,000 ",0.24
"MyCole Pruitt (TE, TEN)",TE,TEN,0.67,"$2,500 ",#26,#343,#70,0,0,0,0,0,0,0.24,2.45,0.03,0.67,"$2,500 ",0.27
"Andy Janovich (RB, CLE)",RB,CLE,0.66,"$4,000 ",#2,#344,#102,0,0,0,0.29,1.2,0.01,0.24,1.83,0.01,0.66,"$4,000 ",0.17
"Joe Reed (WR, LAC)",WR,LAC,0.66,"$3,000 ",#16,#344,#140,0,0,0,0,0,0,0.24,2.96,0.02,0.66,"$3,000 ",0.22
"De'Michael Harris (WR, IND)",WR,IND,0.65,"$3,000 ",#31,#346,#141,0,0,0,0,0,0,0.24,2.89,0.02,0.65,"$3,000 ",0.22
"Ben Ellefson (TE, JAC)",TE,JAC,0.63,"$2,500 ",#30,#347,#71,0,0,0,0,0,0,0.26,2.51,0.02,0.63,"$2,500 ",0.25
"Nick Westbrook-Ikhine (WR, TEN)",WR,TEN,0.59,"$3,000 ",#26,#348,#142,0,0,0,0,0,0,0.22,2.48,0.02,0.59,"$3,000 ",0.2
"Riley Ridley (WR, CHI)",WR,CHI,0.55,"$3,000 ",#29,#349,#143,0,0,0,0,0,0,0.23,2.63,0.01,0.55,"$3,000 ",0.18
"D'Onta Foreman (RB, TEN)",RB,TEN,0.51,"$4,000 ",#26,#350,#103,0,0,0,0.4,1.69,0.01,0.13,0.98,0.01,0.51,"$4,000 ",0.13
"Trevon Wesco (TE, NYJ)",TE,NYJ,0.5,"$2,500 ",#23,#350,#72,0,0,0,0.3,1.64,0.01,0.11,1.1,0.01,0.5,"$2,500 ",0.2
"New Orleans D/ST (D, NO)",D/ST,NO),9.46,"$3,800 ",#24,#28,#1,17.5,325.4,2.69,1.04,0.64,0.23,9.46,"$3,800 ",2.49,,,
"Seattle D/ST (D, SEA)",D/ST,SEA,9.23,"$3,000 ",#25,#32,#2,16.5,292.67,2.87,0.84,0.42,0.25,9.23,"$3,000 ",3.08,,,
"Dallas D/ST (D, DAL)",D/ST,DAL,8.33,"$2,400 ",#26,#26,#3,19.75,330.59,3.19,0.76,0.51,0.2,8.33,"$2,400 ",3.47,,,
"Arizona D/ST (D, ARI)",D/ST,ARI,7.43,"$2,700 ",#27,#27,#4,21.75,320.9,2.61,0.76,0.64,0.19,7.43,"$2,700 ",2.75,,,
"Los Angeles Rams D/ST (D, LA)",D/ST,LA),7.4,"$3,200 ",#28,#19,#5,19.5,314.23,2.09,0.81,0.48,0.22,7.4,"$3,200 ",2.31,,,
"Houston D/ST (D, HOU)",D/ST,HOU,7.12,"$2,600 ",#29,#29,#6,22,333,2.6,0.79,0.49,0.19,7.12,"$2,600 ",2.74,,,
"San Francisco D/ST (D, SF)",D/ST,SF),6.9,"$2,700 ",#30,#23,#7,20.5,315.56,2.64,0.51,0.42,0.21,6.9,"$2,700 ",2.56,,,
"Philadelphia D/ST (D, PHI)",D/ST,PHI,6.78,"$2,200 ",#31,#5,#8,25,331.99,3.01,0.93,0.46,0.15,6.78,"$2,200 ",3.08,,,
"Green Bay D/ST (D, GB)",D/ST,GB),6.74,"$3,300 ",#32,#20,#9,23.25,354.36,2.81,0.65,0.48,0.19,6.74,"$3,300 ",2.04,,,
"Tennessee D/ST (D, TEN)",D/ST,TEN,6.76,"$3,100 ",#33,#30,#10,22.5,343.72,1.61,1.13,0.49,0.2,6.76,"$3,100 ",2.18,,,
"Cincinnati D/ST (D, CIN)",D/ST,CIN,6.62,"$2,300 ",#34,#24,#11,22.75,344.5,2.07,0.82,0.63,0.17,6.62,"$2,300 ",2.88,,,
"Kansas City D/ST (D, KC)",D/ST,KC),6.61,"$3,500 ",#35,#25,#12,21.75,325.9,2.23,0.7,0.45,0.2,6.61,"$3,500 ",1.89,,,
"Chicago D/ST (D, CHI)",D/ST,CHI,6.6,"$3,000 ",#36,#11,#13,23.5,371.26,2.49,0.74,0.55,0.18,6.6,"$3,000 ",2.2,,,
"Carolina D/ST (D, CAR)",D/ST,CAR,6.51,"$2,900 ",#37,#31,#14,20.5,338.98,1.53,0.79,0.5,0.21,6.51,"$2,900 ",2.24,,,
"Washington D/ST (D, WSH)",D/ST,WSH,6.44,"$2,800 ",#38,#14,#15,23,367.57,2.19,0.83,0.5,0.17,6.44,"$2,800 ",2.3,,,
"Tampa Bay D/ST (D, TB)",D/ST,TB),6.47,"$2,900 ",#39,#15,#16,23,358.52,2.3,0.67,0.55,0.2,6.47,"$2,900 ",2.23,,,
"Baltimore D/ST (D, BAL)",D/ST,BAL,6.34,"$3,000 ",#40,#16,#17,21.75,349.42,1.9,0.86,0.35,0.19,6.34,"$3,000 ",2.11,,,
"Pittsburgh D/ST (D, PIT)",D/ST,PIT,6.31,"$3,400 ",#41,#4,#18,25.75,361.35,2.5,0.81,0.66,0.16,6.31,"$3,400 ",1.86,,,
"Buffalo D/ST (D, BUF)",D/ST,BUF,6.26,"$2,300 ",#42,#9,#19,22.75,384.12,1.69,0.88,0.52,0.19,6.26,"$2,300 ",2.72,,,
"Los Angeles Chargers D/ST (D, LAC)",D/ST,LAC,5.91,"$2,600 ",#43,#17,#20,23.75,363.28,2.28,0.63,0.45,0.18,5.91,"$2,600 ",2.27,,,
"New England D/ST (D, NE)",D/ST,NE),5.77,"$3,300 ",#44,#10,#21,24,378.72,1.7,0.8,0.59,0.15,5.77,"$3,300 ",1.75,,,
"Indianapolis D/ST (D, IND)",D/ST,IND,5.75,"$3,200 ",#45,#12,#22,24.75,362.29,2.04,0.58,0.69,0.17,5.75,"$3,200 ",1.8,,,
"Cleveland D/ST (D, CLE)",D/ST,CLE,5.77,"$2,800 ",#46,#21,#23,24.75,341.88,2.32,0.58,0.56,0.17,5.77,"$2,800 ",2.06,,,
"Denver D/ST (D, DEN)",D/ST,DEN,5.74,"$2,500 ",#47,#13,#24,24,349.58,2.09,0.76,0.4,0.16,5.74,"$2,500 ",2.3,,,
"New York Giants D/ST (D, NYG)",D/ST,NYG,5.49,"$2,600 ",#48,#6,#25,24.75,375.63,2.04,0.76,0.38,0.17,5.49,"$2,600 ",2.11,,,
"Atlanta D/ST (D, ATL)",D/ST,ATL,5.45,"$2,400 ",#49,#18,#26,24.75,388.58,2.06,0.73,0.38,0.17,5.45,"$2,400 ",2.27,,,
"Las Vegas D/ST (D, LV)",D/ST,LV),4.71,"$2,500 ",#50,#22,#27,27.75,371.12,1.54,1,0.41,0.15,4.71,"$2,500 ",1.88,,,
"New York Jets D/ST (D, NYJ)",D/ST,NYJ,4.39,"$2,100 ",#51,#7,#28,31,385.06,2.64,0.62,0.58,0.11,4.39,"$2,100 ",2.09,,,
"Miami D/ST (D, MIA)",D/ST,MIA,3.98,"$2,800 ",#52,#2,#29,28.75,394.35,1.91,0.6,0.37,0.15,3.98,"$2,800 ",1.42,,,
"Jacksonville D/ST (D, JAC)",D/ST,JAC,3.88,"$2,200 ",#53,#3,#30,30,409.11,1.66,0.74,0.48,0.14,3.88,"$2,200 ",1.76,,,
"Minnesota D/ST (D, MIN)",D/ST,MIN,3.72,"$2,300 ",#54,#8,#31,29.5,363.6,1.78,0.53,0.49,0.15,3.72,"$2,300 ",1.62,,,
"Detroit D/ST (D, DET)",D/ST,DET,2.43,"$2,000 ",#55,#1,#32,31.25,405.03,1.59,0.36,0.34,0.13,2.43,"$2,000 ",1.22,,,
