Player,Position,Team,FP,Cost,Rank,Over,Position,Yds,TD,Ints,Att,Yds,TDs,Rec,Yds,TDs,FP,Cost,Value
"J.D. McKissic (RB, WSH)",RB,WSH,12.05,"$4,900 ",#11,#92,#20,0,0,0,8.03,32.96,0.22,4.01,26,0.15,12.05,"$4,900 ",2.46
"Nyheim Hines (RB, IND)",RB,IND,11.98,"$5,200 ",#31,#92,#20,0,0,0,7.5,29.88,0.31,3.39,27.3,0.17,11.98,"$5,200 ",2.3
"Melvin Gordon (RB, DEN)",RB,DEN,12.06,"$5,200 ",#21,#94,#22,0,0,0,13.51,59.88,0.47,1.74,12.43,0.07,12.06,"$5,200 ",2.32
"Jonathan Taylor (RB, IND)",RB,IND,11.89,"$5,800 ",#31,#95,#23,0,0,0,11.87,48.66,0.47,1.99,16.29,0.1,11.89,"$5,800 ",2.05
"Todd Gurley (RB, ATL)",RB,ATL,11.92,"$4,800 ",#14,#96,#24,0,0,0,12.78,55.73,0.63,1.33,9.32,0.06,11.92,"$4,800 ",2.48
"T.J. Hockenson (TE, DET)",TE,DET,11.81,"$5,000 ",#17,#97,#4,0,0,0,0,0,0,4.3,52.81,0.37,11.81,"$5,000 ",2.36
"T.Y. Hilton (WR, IND)",WR,IND,11.79,"$5,100 ",#31,#98,#38,0,0,0,0,0,0,4.17,55.14,0.35,11.79,"$5,100 ",2.31
"Jakobi Meyers (WR, NE)",WR,NE),11.75,"$4,800 ",#1,#99,#39,0,0,0,0,0,0,4.83,54.92,0.24,11.75,"$4,800 ",2.45
"Clyde Edwards-Helaire (RB, KC)",RB,KC),11.69,"$5,900 ",#7,#100,#25,0,0,0,11.15,47.02,0.34,2.37,17.85,0.13,11.69,"$5,900 ",1.98
"Evan Engram (TE, NYG)",TE,NYG,11.58,"$4,300 ",#20,#101,#5,0,0,0,0.08,0.47,0,4.54,47.02,0.38,11.58,"$4,300 ",2.69
"Miles Sanders (RB, PHI)",RB,PHI,11.57,"$6,200 ",#5,#102,#26,0,0,0,12.2,54.5,0.31,2.13,18.02,0.07,11.57,"$6,200 ",1.87
